,Id,NODE_TYPE,NODE_NAME,TURN_P,REMARK,USER_ID,WORKSTATE,DEPT_CODE,STNL_REG,TMPID,UPLOAD_ID,latitude,longitude
59,1920009800,101,-,0,,ussi,5,31000,192,,,35.556429431533104,129.28419729458287
60,1920010100,101,-,0,,ussi,5,31000,192,,,35.556766586852916,129.2815235139983
61,1920023700,101,-,0,b'\xba\xb8\xbf\xcf',ussi,5,31000,192,,,35.575238275138,129.3050676701246
62,1920005800,101,-,0,b'\xba\xb8\xbf\xcf',ussi,5,31000,192,,,35.55279389967996,129.31121332600682
63,1920006200,101,-,0,,ussi,5,31000,192,,,35.55316430582448,129.31436935713728
64,1920006600,101,-,0,,ussi,5,31000,192,,,35.553377149542534,129.30886157641487
65,1920009700,101,-,0,,ussi,5,31000,192,,,35.556299150189766,129.30960779604322
66,1920010900,101,-,0,,ussi,5,31000,192,,,35.55801227461936,129.31182613833698
67,1920016300,101,-,0,,ussi,5,31000,192,,,35.572060274674584,129.31471713891497
68,1920017400,101,-,0,,ussi,5,31000,192,,,35.57299055583906,129.30988729528073
69,1920019200,101,-,0,,ussi,5,31000,192,,,35.57357139925759,129.31523035826314
70,1920034100,101,-,0,,ussi,5,31000,192,,,35.57998855611639,129.3121696695394
71,1920034800,101,-,0,,ussi,5,31000,192,,,35.58052074276293,129.31625817038517
72,1920026000,101,-,0,,ussi,5,31000,192,,,35.576042837333695,129.30761129554747
73,1920027500,101,-,0,,ussi,5,31000,192,,,35.576566274718154,129.3071588585179
74,1920007200,101,-,0,,ussi,5,31000,192,,,35.554391118551806,129.30595554572972
75,1920022800,101,-,0,,ussi,5,31000,192,,,35.5747833999524,129.3036532954559
76,1920026200,101,-,0,,ussi,5,31000,192,,,35.576055774682885,129.30304901385045
77,1920025500,102,-,0,,ussi,5,31000,192,,,35.57585277428475,129.30519107715972
78,1920024000,101,-,0,,ussi,5,31000,192,,,35.57533493171407,129.30339135775722
79,1920018100,101,-,0,b'\xba\xb8\xbf\xcf',ussi,5,31000,192,,,35.57309427531785,129.30595917001227
80,1920025200,101,-,0,b'\xba\xb8\xbf\xcf',ussi,5,31000,192,,,35.57575364951123,129.3048465142655
81,1920021500,101,-,0,b'\xba\xb8\xbf\xcf',ussi,5,31000,192,,,35.57429377433011,129.3038101384228
