episode,scene_num,sequence,place,type,actor,dialogue
5,3,1,PLAIN OF HOTH,EXT,LUKE,"Echo Three to Echo Seven.  Han, old buddy, do you read me?"
5,3,2,PLAIN OF HOTH,EXT,HAN,"Loud and clear, kid.  What's up?"
5,3,3,PLAIN OF HOTH,EXT,LUKE,"Well, I finished my circle.  I don't pick up any life readings."
5,3,4,PLAIN OF HOTH,EXT,HAN,"There isn't enough life on this ice cube to fill a space cruiser. The sensors are placed, I'm going back."
5,3,5,PLAIN OF HOTH,EXT,LUKE,Right.  I'll see you shortly. There's a meteorite that hit the ground near here.  I want to check it out.  It won't take long.
5,3,6,PLAIN OF HOTH,EXT,LUKE,"Hey, steady girl.  What's the matter?  You smell something?"
5,3,7,PLAIN OF HOTH,EXT,LUKE,Aaargh!
5,5,8,HOTH,INT,HAN,Chewie!
5,5,9,HOTH,INT,HAN,"All right, don't lose your temper. I'll come right back and give you a hand."
5,6,10,HOTH,INT,RIEEKAN,Solo?
5,6,11,HOTH,INT,HAN,"No sign of life out there, General. The sensors are in place.  You'll know if anything comes around."
5,6,12,HOTH,INT,RIEEKAN,Commander Skywalker reported in yet?
5,6,13,HOTH,INT,HAN,No.  He's checking out a meteorite that hit near him.
5,6,14,HOTH,INT,RIEEKAN,"screen) With all the meteor activity in this system, it's going to be difficult to spot approaching ships."
5,6,15,HOTH,INT,HAN,"General, I've got to leave.  I can't stay anymore."
5,6,16,HOTH,INT,RIEEKAN,I'm sorry to hear that.
5,6,17,HOTH,INT,HAN,"Well, there's a price on my head. If I don't pay off Jabba the Hut, I'm a dead man."
5,6,18,HOTH,INT,RIEEKAN,"A death mark's not an easy thing to live with.  You're a good fighter, Solo.  I hate to lose you."
5,6,19,HOTH,INT,HAN,"Thank you, General."
5,6,20,HOTH,INT,HAN,"Well, Your Highness, I guess this is it."
5,6,21,HOTH,INT,LEIA,That's right.
5,6,22,HOTH,INT,HAN,"Well, don't get all mushy on me. So long, Princess."
5,7,23,HOTH,INT,LEIA,Han!
5,7,24,HOTH,INT,HAN,"Yes, Your Highnessness?"
5,7,25,HOTH,INT,LEIA,I thought you decided to stay.
5,7,26,HOTH,INT,HAN,"Well, the bounty hunter we ran into on Ord Mantell changed my mind."
5,7,27,HOTH,INT,LEIA,"Han, we need you!"
5,7,28,HOTH,INT,HAN,We?
5,7,29,HOTH,INT,LEIA,Yes.
5,7,30,HOTH,INT,HAN,"Oh, what about you need?"
5,7,31,HOTH,INT,LEIA,I need?  I don't know what you're talking about.
5,7,32,HOTH,INT,HAN,fed up) You probably don't.
5,7,33,HOTH,INT,LEIA,And what precisely am I supposed to know?
5,7,34,HOTH,INT,HAN,Come on!  You want me to stay because of the way you feel about me.
5,7,35,HOTH,INT,LEIA,Yes.  You're a great help to us. You're a natural leader...
5,7,36,HOTH,INT,HAN,No!  That's not it.  Come on. Aahhh - uh huh!  Come on.
5,7,37,HOTH,INT,LEIA,You're imagining things.
5,7,38,HOTH,INT,HAN,Am I?  Then why are you following me?  Afraid I was going to leave without giving you a goodbye kiss?
5,7,39,HOTH,INT,LEIA,I'd just as soon kiss a Wookiee.
5,7,40,HOTH,INT,HAN,I can arrange that.  You could use a good kiss!
5,8,41,HOTH,INT,THREEPIO,Don't try to blame me.  I didn't ask you to turn on the thermal heater.  I merely commented that it was freezing in the princess' chamber.  But it's supposed to be freezing.  How are we going to dry out all her clothes?  I really don't know.
5,8,42,HOTH,INT,THREEPIO,"Oh, switch off."
5,9,43,HOTH,INT,HAN,Why do you take this apart now? I'm trying to get us out of here and you pull both of these.
