episode,scene_num,sequence,place,type,actor,dialogue
6,1,1,IMPERIAL SHUTTLE,INT,SHUTTLE CAPTAIN,"Command station, this is ST 321. Code Clearance Blue. We're starting our approach. Deactivate the security shield."
6,1,2,IMPERIAL SHUTTLE,INT,SHUTTLE CAPTAIN,We're starting our approach.
6,2,3,DEATH STAR,INT,OFFICER,Inform the commander that Lord Vader's shuttle has arrived.
6,2,4,DEATH STAR,INT,OPERATOR,"Yes, sir."
6,3,5,DEATH STAR,INT,JERJERROD,"Lord Vader, this is an unexpected pleasure. We're honored by your presence."
6,3,6,DEATH STAR,INT,VADER,"You may dispense with the pleasantries, Commander. I'm here to put you back on schedule."
6,3,7,DEATH STAR,INT,JERJERROD,"I assure you, Lord Vader, my men are working as fast as they can."
6,3,8,DEATH STAR,INT,VADER,Perhaps I can find new ways to motivate them.
6,3,9,DEATH STAR,INT,JERJERROD,"I tell you, this station will be operational as planned."
6,3,10,DEATH STAR,INT,VADER,The Emperor does not share your optimistic appraisal of the situation.
6,3,11,DEATH STAR,INT,JERJERROD,But he asks the impossible. I need more men.
6,3,12,DEATH STAR,INT,VADER,Then perhaps you can tell him when he arrives.
6,3,13,DEATH STAR,INT,VADER,"That is correct, Commander. And he is most displeased with your apparent lack of progress."
6,3,14,DEATH STAR,INT,JERJERROD,We shall double our efforts.
6,3,15,DEATH STAR,INT,VADER,"I hope so, Commander, for your sake. The Emperor is not as forgiving as I am."
6,4,16,ROAD TO JABBA'S PALACE,EXT,THREEPIO,"Of course I'm worried. And you should be, too. Lando Calrissian and poor Chewbacca never returned from this awful place."
6,4,17,ROAD TO JABBA'S PALACE,EXT,THREEPIO,"Don't be so sure. If I told you half the things I've heard about this Jabba the Hutt, you'd probably short-circuit."
6,4,18,ROAD TO JABBA'S PALACE,EXT,THREEPIO,"Artoo, are you sure this is the right place? I better knock, I suppose."
6,5,19,JABBA'S PALACE,EXT,STRANGE VOICE,Tee chuta hhat yudd!
6,5,20,JABBA'S PALACE,EXT,THREEPIO,Goodness gracious me!
6,5,21,JABBA'S PALACE,EXT,THREEPIO,Artoo Detoowha bo Seethreepiowha ey toota odd mischka Jabba du Hutt.
6,5,22,JABBA'S PALACE,EXT,THREEPIO,"I don't think they're going to let us in, Artoo. We'd better go."
6,5,23,JABBA'S PALACE,EXT,THREEPIO,"Artoo, wait. Oh, dear! Artoo. Artoo, I really don't think we should rush into all this."
6,5,24,JABBA'S PALACE,EXT,THREEPIO,"Oh, Artoo!  Artoo, wait for me!"
6,6,25,JABBA'S PALACE,INT,THREEPIO,"Just you deliver Master Luke's message and get us out of here. Oh my! Oh! Oh, no."
6,6,26,JABBA'S PALACE,INT,BIB,Die Wanna Wanga!
6,6,27,JABBA'S PALACE,INT,THREEPIO,"Oh, my! Die Wanna Wauaga. We -- we bring a message to your master, Jabba the Hutt."
6,6,28,JABBA'S PALACE,INT,BIB,Nee Jabba no badda. Me chaade su goodie.
6,6,29,JABBA'S PALACE,INT,THREEPIO,He says that our instructions are to give it only to Jabba himself.
6,6,30,JABBA'S PALACE,INT,THREEPIO,I'm terribly sorry. I'm afraid he's ever so stubborn about these sort of things.
6,6,31,JABBA'S PALACE,INT,BIB,Nudd Chaa.
6,6,32,JABBA'S PALACE,INT,THREEPIO,"Artoo, I have a bad feeling about this."
6,7,33,JABBA'S THRONE ROOM,INT,THREEPIO,Good morning.
6,7,34,JABBA'S THRONE ROOM,INT,JABBA,Bo Shuda!
6,7,35,JABBA'S THRONE ROOM,INT,THREEPIO,"The message, Artoo, the message."
6,7,36,JABBA'S THRONE ROOM,INT,LUKE,"Greetings, Exalted One. Allow me to introduce myself. I am Luke Skywalker, Jedi Knight and friend to Captain Solo. I know that you are powerful, mighty Jabba, and that your anger with Solo must be equally powerful. I seek an audience with Your Greatness to bargain for Solo's life. (Jabba's crowd laughs) With your wisdom, I'm sure that we can work out an arrangement which will be mutually beneficial and enable us to avoid any unpleasant confrontation. As a token of my goodwill, I present to you a gift: these two droids."
6,7,37,JABBA'S THRONE ROOM,INT,THREEPIO,What did he say?
6,7,38,JABBA'S THRONE ROOM,INT,THREEPIO,"This can't be! Artoo, you're playing the wrong message."
6,7,39,JABBA'S THRONE ROOM,INT,THREEPIO,We're doomed.
6,7,40,JABBA'S THRONE ROOM,INT,THREEPIO,"Artoo, look! Captain Solo. And he's still frozen in carbonite."
6,8,41,DUNGEON CORRIDOR,INT,THREEPIO,What could possibly have come over Master Luke. Is it something I did? He never expressed any unhappiness with my work. Oh! Oh! Hold it! Ohh!
6,9,42,BOILER ROOM,INT,NINEDENINE,"Ah, good. New acquisitions. You are a protocol droid, are you not?"
6,9,43,BOILER ROOM,INT,THREEPIO,"I am See-Threepio, human-cy..."
6,9,44,BOILER ROOM,INT,NINEDENINE,Yes or no will do.
6,9,45,BOILER ROOM,INT,THREEPIO,"Oh. Well, yes."
6,9,46,BOILER ROOM,INT,NINEDENINE,How many languages do you speak?
6,9,47,BOILER ROOM,INT,THREEPIO,"I am fluent in over six million forms of communication, and can readily..."
6,9,48,BOILER ROOM,INT,NINEDENINE,Splendid! We have been without an interpreter since our master got angry with our last protocol droid and disintegrated him.
6,9,49,BOILER ROOM,INT,THREEPIO,Disintegrated?
6,9,50,BOILER ROOM,INT,NINEDENINE,"You're a feisty little one, but you'll soon learn some respect. I have need for you on the master's Sail Barge. And I think you'll fit in nicely."
6,10,51,JABBA'S THRONE ROOM,INT,JABBA,Da Eitha!
6,10,52,JABBA'S THRONE ROOM,INT,OOLA,Na Chuba negatorie Na! Na! Natoota...
6,10,53,JABBA'S THRONE ROOM,INT,JABBA,Boscka!
6,10,54,JABBA'S THRONE ROOM,INT,THREEPIO,"Oh, no! Chewbacca!"
6,10,55,JABBA'S THRONE ROOM,INT,THREEPIO,"Oh, uh, yes, uh, I am here, Your Worshipfulness. Uh... yes!"
6,10,56,JABBA'S THRONE ROOM,INT,THREEPIO,Oh. The illustrious Jabba bids you welcome and will gladly pay you the reward of twenty-five thousand.
6,10,57,JABBA'S THRONE ROOM,INT,THREEPIO,"Uh, oh... but what, what did I say? (to Boushh) Uh, the mighty Jabba asks why he must pay fifty thousand."
6,10,58,JABBA'S THRONE ROOM,INT,THREEPIO,Because he's holding a thermal detonator.
6,10,59,JABBA'S THRONE ROOM,INT,THREEPIO,Jabba offers the sum of thirty-five. And I suggest you take it.
6,10,60,JABBA'S THRONE ROOM,INT,BOUSHH,Zeebuss.
6,10,61,JABBA'S THRONE ROOM,INT,THREEPIO,He agrees!
6,13,62,JABBA'S THRONE ROOM,INT,BOUSHH,Just relax for a moment. You're free of the carbonite.
6,13,63,JABBA'S THRONE ROOM,INT,BOUSHH,Shhh. You have hibernation sickness.
6,13,64,JABBA'S THRONE ROOM,INT,HAN,I can't see.
6,13,65,JABBA'S THRONE ROOM,INT,BOUSHH,Your eyesight will return in time.
6,13,66,JABBA'S THRONE ROOM,INT,HAN,Where am I?
6,13,67,JABBA'S THRONE ROOM,INT,BOUSHH,Jabba's palace.
6,13,68,JABBA'S THRONE ROOM,INT,HAN,Who are you?
6,13,69,JABBA'S THRONE ROOM,INT,LEIA,Someone who loves you.
6,13,70,JABBA'S THRONE ROOM,INT,HAN,Leia!
6,13,71,JABBA'S THRONE ROOM,INT,LEIA,I gotta get you out of here.
6,13,72,JABBA'S THRONE ROOM,INT,HAN,What's that? I know that laugh.
6,13,73,JABBA'S THRONE ROOM,INT,HAN,"Hey, Jabba. Look, Jabba, I was just on my way to pay you back, but I got a little sidetracked. It's not my fault."
6,13,74,JABBA'S THRONE ROOM,INT,HAN,Look...
6,13,75,JABBA'S THRONE ROOM,INT,HAN,Jabba... I'll pay you triple! You're throwing away a fortune here. Don't be a fool!
6,13,76,JABBA'S THRONE ROOM,INT,LEIA,We have powerful friends. You're gonna regret this...
6,13,77,JABBA'S THRONE ROOM,INT,LEIA,Ugh!
6,13,78,JABBA'S THRONE ROOM,INT,THREEPIO,"Ohhh, I can't bear to watch."
6,14,79,DUNGEON CELL,INT,HAN,"Chewie? Chewie, is that you?"
6,14,80,DUNGEON CELL,INT,HAN,Ah! Chew--Chewie!
6,14,81,DUNGEON CELL,INT,HAN,"Wait. I can't see, pal. What's goin' on?"
6,14,82,DUNGEON CELL,INT,HAN,"Luke? Luke's crazy. He can't even take care of himself, much less rescue anybody."
6,14,83,DUNGEON CELL,INT,HAN,"A...Jedi Knight? I--I'm out of it for a little while, everybody gets delusions of grandeur."
6,14,84,DUNGEON CELL,INT,HAN,"I'm all right, pal. I'm all right."
6,15,85,MAIN GATE AND HALL,INT,LUKE,I must speak with Jabba.
6,15,86,MAIN GATE AND HALL,INT,LUKE,You will take me to Jabba now!
6,15,87,MAIN GATE AND HALL,INT,LUKE,You serve your master well.
6,15,88,MAIN GATE AND HALL,INT,LUKE,And you will be rewarded.
6,16,89,JABBA'S THRONE ROOM,INT,THREEPIO,At last! Master Luke's come to rescue me.
6,16,90,JABBA'S THRONE ROOM,INT,BIB,Master.
6,16,91,JABBA'S THRONE ROOM,INT,BIB,"...Luke Skywalker, Jedi Knight."
6,16,92,JABBA'S THRONE ROOM,INT,LUKE,I must be allowed to speak.
6,16,93,JABBA'S THRONE ROOM,INT,LUKE,You will bring Captain Solo and the Wookiee to me.
6,16,94,JABBA'S THRONE ROOM,INT,LUKE,"Nevertheless, I'm taking Captain Solo and his friends. You can either profit by this... or be destroyed! It's your choice. But I warn you not to underestimate my powers."
6,16,95,JABBA'S THRONE ROOM,INT,THREEPIO,"Master Luke, you're standing on..."
6,16,96,JABBA'S THRONE ROOM,INT,JABBA,Bascka!
6,17,97,RANCOR PIT,INT,THREEPIO,"Oh, no! The Rancor!"
6,19,98,THRONE ROOM,INT,LUKE,Han!
6,19,99,THRONE ROOM,INT,HAN,Luke!
6,19,100,THRONE ROOM,INT,LUKE,Are you all right?
6,19,101,THRONE ROOM,INT,HAN,"Fine. Together again, huh?"
6,19,102,THRONE ROOM,INT,LUKE,Wouldn't miss it.
6,19,103,THRONE ROOM,INT,HAN,How are we doing?
6,19,104,THRONE ROOM,INT,LUKE,The same as always.
6,19,105,THRONE ROOM,INT,HAN,"That bad, huh? Where's Leia?"
6,19,106,THRONE ROOM,INT,LEIA,I'm here.
6,19,107,THRONE ROOM,INT,THREEPIO,"Oh, dear. His High Exaltedness, the great Jabba the Hutt, has decreed that you are to be terminated immediately."
6,19,108,THRONE ROOM,INT,HAN,"Good, I hate long waits."
6,19,109,THRONE ROOM,INT,THREEPIO,"You will therefore be taken to the Dune Sea and cast into the pit of Carkoon, the nesting place of the all-powerful Sarlacc."
6,19,110,THRONE ROOM,INT,THREEPIO,"In his belly, you will find a new definition of pain and suffering, as you are slowly digested over a thousand years."
6,19,111,THRONE ROOM,INT,HAN,"On second thought, let's pass on that, huh?"
6,19,112,THRONE ROOM,INT,LUKE,"You should have bargained, Jabba. That's the last mistake you'll ever make."
6,20,113,TATOOINE SEA,EXT,HAN,"I think my eyes are getting better. Instead of a big dark blur, I see a big light blur."
6,20,114,TATOOINE SEA,EXT,LUKE,"There's nothing to see. I used to live here, you know."
6,20,115,TATOOINE SEA,EXT,HAN,"You're gonna die here, you know. Convenient."
6,20,116,TATOOINE SEA,EXT,LUKE,Just stick close to Chewie and Lando. I've taken care of everything.
6,20,117,TATOOINE SEA,EXT,HAN,Oh... great!
6,21,118,BARGE OBSERVATION DECK,INT,THREEPIO,"Oh, I'm terribly sor... Artoo! What are you doing here?"
6,21,119,BARGE OBSERVATION DECK,INT,THREEPIO,"Well, I can see you're serving drinks, but this place is dangerous. They're going to execute Master Luke and, if we're not careful, us too!"
6,21,120,BARGE OBSERVATION DECK,INT,THREEPIO,Hmm.  I wish I had your confidence.
6,23,121,SAIL BARGE OBSERVATION DECK,EXT,THREEPIO,"Victims of the almighty Sarlacc: His Excellency hopes that you will die honorably. But should any of you wish to beg for mercy, the great Jabba the Hutt will now listen to your pleas."
6,24,122,SKIFF,EXT,HAN,"Threepio, you tell that slimy piece of... worm-ridden filth he'll get no such pleasure from us. Right?"
6,24,123,SKIFF,EXT,LUKE,Jabba! This is your last chance. Free us or die.
6,30,124,SKIFF,EXT,LUKE,"Easy, Chewie."
6,30,125,SKIFF,EXT,LANDO,Whoa! Whoa! Help!
6,32,126,SKIFF,EXT,HAN,"Chewie, you okay? Where is he?"
6,32,127,SKIFF,EXT,HAN,"I'm okay, pal."
6,32,128,SKIFF,EXT,LANDO,Han! Chewie?
6,32,129,SKIFF,EXT,HAN,Lando!
6,32,130,SKIFF,EXT,HAN,Boba Fett?! Boba Fett?! Where?
6,34,131,SKIFF,EXT,HAN,"Lando, grab it!"
6,34,132,SKIFF,EXT,LANDO,Lower it!
6,34,133,SKIFF,EXT,HAN,I'm trying!
6,34,134,SKIFF,EXT,HAN,"Whoa! Whoa! Grab me, Chewie! I'm slipping."
6,34,135,SKIFF,EXT,HAN,Grab it! L--Lando. Grab!
6,34,136,SKIFF,EXT,HAN,Grab it! Almost... You almost got it!
6,34,137,SKIFF,EXT,LANDO,Hold it! Whoa!
6,34,138,SKIFF,EXT,HAN,"Gently now. All... all right. Now easy, easy. Hold me, Chewie."
6,34,139,SKIFF,EXT,HAN,"Chewie! Chewie, give me the gun. Don't move, Lando."
6,34,140,SKIFF,EXT,LANDO,"No, wait! I thought you were blind!"
6,34,141,SKIFF,EXT,HAN,It's all right. Trust me. Don't move.
6,34,142,SKIFF,EXT,LANDO,All right! A little higher! Just a little higher!
6,34,143,SKIFF,EXT,HAN,"Chewie, Pull us up! Come on! Okay... up, Chewie, up!"
6,36,144,SAIL BARGE,INT,LEIA,Come on. We gotta get out of here quick.
6,36,145,SAIL BARGE,INT,THREEPIO,"Not my eyes! Artoo, help! Quickly, Artoo. Oh! Ohhh! You beast!"
6,37,146,UPPER DECK,EXT,LUKE,Point it at the deck!
6,37,147,UPPER DECK,EXT,THREEPIO,"Artoo, where are we going? I couldn't possibly jump."
6,37,148,UPPER DECK,EXT,LUKE,Come on!
6,38,149,SKIFF,EXT,LUKE,Let's go! And don't forget the droids.
6,38,150,SKIFF,EXT,LANDO,We're on our way.
6,41,151,DUNE SEA,EXT,HAN,I don't know. All I can see is a lot of blowing sand!
6,41,152,DUNE SEA,EXT,LEIA,That's all any of us can see.
6,41,153,DUNE SEA,EXT,HAN,"No, I'm thinking a lot about it. That carbon freeze was the closest thing to dead there is. And it wasn't just sleepin'. It was a big wide awake nothing!"
6,41,154,DUNE SEA,EXT,HAN,Why don't you leave that crate and come with us?
6,41,155,DUNE SEA,EXT,LUKE,I have a promise I have to keep first... to an old friend.
6,41,156,DUNE SEA,EXT,HAN,"(looking dubiously at Lando, obviously remembering his friend's betrayal and subsequent aide) Guess I owe you some thanks, too, Lando."
6,41,157,DUNE SEA,EXT,LANDO,"Figured if I left you frozen like that you'd just give me bad luck the rest of my life, so I might as well get you unfrozen sooner or later."
6,41,158,DUNE SEA,EXT,LEIA,"He means ""You're welcome."""
6,41,159,DUNE SEA,EXT,LANDO,"Come on, let's get off this miserable dust ball."
6,43,160,X,INT,LANDO,
6,43,161,X,INT,LUKE,I'll meet you back at the fleet.
6,43,162,X,INT,LUKE,I will.
6,43,163,X,INT,LUKE,"That's right, Artoo. We're going to the Dagobah system. I have a promise to keep... to an old friend."
6,46,164,DOCKING BAY,INT,VADER,The Death Star will be completed on schedule.
